Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,185.5,-82,90,top
C2,0.1uF,C_0402_1005Metric,173.75,-87,180,top
C3,0.1uF,C_0402_1005Metric,179.31,-80.92,90,top
C4,0.1uF,C_0402_1005Metric,178.31,-80.91,90,top
C5,0.1uF,C_0402_1005Metric,185.49,-87.16,0,top
C6,0.1uF,C_0402_1005Metric,185.5,-84.25,90,top
C7,0.1uF,C_0402_1005Metric,186.23,-91.61,0,top
C8,0.1uF,C_0402_1005Metric,170.68,-92.01,180,top
C9,0.1uF,C_0402_1005Metric,181.5,-98.5,-90,top
C10,1uF,C_0402_1005Metric,177.32,-80.9,90,top
C11,0.1uF,C_0402_1005Metric,182.75,-98.5,-90,top
C12,0.1uF,C_0402_1005Metric,182,-83.02,90,top
C13,10 uF,C_0201_0603Metric,170.655,-70,0,top
C14,10uF,C_0201_0603Metric,170.155,-64.25,0,top
C15,33 pF,C_0402_1005Metric,179.83,-99.52,90,top
C16,33 pF,C_0402_1005Metric,176.09,-105.38,180,top
C17,0.1 uF,C_0402_1005Metric,196,-75,90,top
J1,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,149.75,-63.55,0,top
J2,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,179.71,-64.22,180,top
J3,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,207.58,-100.39,0,top
J4,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,208.15,-113.25,-90,top
R1,5.1 K,R_0402_1005Metric,181.64,-70.63,-90,top
R2,5.1 K,R_0402_1005Metric,177.82,-70.43,-90,top
R3,27,R_0402_1005Metric,180,-83.25,90,top
R4,27,R_0402_1005Metric,181,-83.25,90,top
R5,1 K,R_0402_1005Metric,178.54,-105.37,180,top
R6,1K,R_0402_1005Metric,204.25,-71.5,-90,top
R7,10K,R_0402_1005Metric,203,-71.51,-90,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,201.5,-80.25,0,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,179.48,-90.38,0,top
U2,NCP1117,SOT-223-3_TabPin2,164.5,-66.25,180,top
U3,W25Q128JVS,SOIC-8_5.3x5.3mm_P1.27mm,199.4625,-66.625,180,top
Y1,12 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,178.63,-102.67,0,top